Symbol,Ex-dividend Date,Dividend
WBA,2023-11-13,0.48
WBA,2023-08-18,0.48
WBA,2023-05-18,0.48
WBA,2023-02-15,0.48
WBA,2022-11-14,0.48
WBA,2022-08-18,0.48
WBA,2022-05-19,0.478
WBA,2022-02-17,0.478
WBA,2021-11-12,0.478
WBA,2021-08-19,0.478
WBA,2021-05-20,0.468
WBA,2021-02-18,0.468
WBA,2020-11-18,0.468
WBA,2020-08-18,0.468
WBA,2020-05-19,0.458
WBA,2020-02-18,0.458
WBA,2019-11-15,0.458
WBA,2019-08-19,0.458
WBA,2019-05-17,0.44
WBA,2019-02-14,0.44
WBA,2018-11-08,0.44
WBA,2018-08-17,0.44
WBA,2018-05-17,0.4
WBA,2018-02-14,0.4
WBA,2017-11-10,0.4
WBA,2017-08-16,0.4
WBA,2017-05-16,0.375
WBA,2017-02-13,0.375
WBA,2016-11-15,0.375
WBA,2016-08-17,0.375
WBA,2016-05-16,0.36
WBA,2016-02-16,0.36
WBA,2015-11-12,0.36
WBA,2015-08-17,0.36
WBA,2015-05-19,0.338
WBA,2015-02-13,0.338
WBA,2014-11-13,0.338
WBA,2014-08-19,0.338
WBA,2014-05-19,0.315
WBA,2014-02-13,0.315
WBA,2013-11-14,0.315
WBA,2013-08-16,0.315
WBA,2013-05-17,0.275
WBA,2013-02-13,0.275
WBA,2012-11-07,0.275
WBA,2012-08-15,0.275
WBA,2012-05-17,0.225
WBA,2012-02-15,0.225
WBA,2011-11-09,0.225
WBA,2011-08-17,0.225
WBA,2011-05-18,0.175
WBA,2011-02-16,0.175
WBA,2010-11-10,0.175
WBA,2010-08-17,0.175
WBA,2010-05-18,0.138
WBA,2010-02-16,0.138
WBA,2009-11-12,0.138
WBA,2009-08-19,0.138
WBA,2009-05-19,0.113
WBA,2009-02-13,0.113
WBA,2008-11-13,0.113
WBA,2008-08-18,0.113
WBA,2008-05-19,0.095
WBA,2008-02-14,0.095
WBA,2007-11-07,0.095
WBA,2007-08-16,0.095
WBA,2007-05-16,0.078
WBA,2007-02-14,0.078
WBA,2006-11-09,0.078
WBA,2006-08-16,0.078
WBA,2006-05-17,0.065
WBA,2006-02-15,0.065
WBA,2005-11-09,0.065
WBA,2005-08-17,0.065
WBA,2005-05-18,0.053
WBA,2005-02-16,0.053
WBA,2004-11-10,0.053
WBA,2004-08-18,0.053
WBA,2004-05-19,0.043
WBA,2004-02-17,0.043
WBA,2003-11-13,0.043
WBA,2003-08-18,0.043
WBA,2003-05-19,0.038
WBA,2003-02-13,0.038
WBA,2002-11-14,0.038
WBA,2002-08-16,0.036
WBA,2002-05-17,0.036
WBA,2002-02-13,0.036
WBA,2001-11-14,0.036
WBA,2001-08-15,0.035
WBA,2001-05-16,0.035
WBA,2001-02-14,0.035
WBA,2000-11-09,0.035
WBA,2000-08-16,0.034
WBA,2000-05-17,0.034
WBA,2000-02-16,0.034
WBA,1999-11-10,0.034
WBA,1999-08-18,0.033
WBA,1999-05-19,0.032
WBA,1999-02-18,0.032
LEG,2023-12-14,0.46
LEG,2023-09-14,0.46
LEG,2023-06-14,0.46
LEG,2023-03-14,0.44
LEG,2022-12-14,0.44
LEG,2022-09-14,0.44
LEG,2022-06-14,0.44
LEG,2022-03-14,0.42
LEG,2021-12-14,0.42
LEG,2021-09-14,0.42
LEG,2021-06-14,0.42
LEG,2021-03-12,0.4
LEG,2020-12-14,0.4
LEG,2020-09-14,0.4
LEG,2020-06-12,0.4
LEG,2020-03-12,0.4
LEG,2019-12-12,0.4
LEG,2019-09-12,0.4
LEG,2019-06-13,0.4
LEG,2019-03-14,0.38
LEG,2018-12-13,0.38
LEG,2018-09-21,0.38
LEG,2018-06-14,0.38
LEG,2018-03-14,0.36
LEG,2017-12-14,0.36
LEG,2017-09-14,0.36
LEG,2017-06-13,0.36
LEG,2017-03-13,0.34
LEG,2016-12-13,0.34
LEG,2016-09-13,0.34
LEG,2016-06-13,0.34
LEG,2016-03-11,0.32
LEG,2015-12-11,0.32
LEG,2015-09-11,0.32
LEG,2015-06-11,0.31
LEG,2015-03-11,0.31
LEG,2014-12-11,0.31
LEG,2014-09-11,0.31
LEG,2014-06-11,0.3
LEG,2014-03-12,0.3
LEG,2013-12-11,0.3
LEG,2013-09-11,0.3
LEG,2013-06-12,0.29
LEG,2013-03-13,0.29
LEG,2012-12-06,0.29
LEG,2012-09-12,0.29
LEG,2012-06-13,0.28
LEG,2012-03-13,0.28
LEG,2011-12-13,0.28
LEG,2011-09-13,0.28
LEG,2011-06-13,0.27
LEG,2011-03-11,0.27
LEG,2010-12-13,0.27
LEG,2010-09-13,0.27
LEG,2010-06-11,0.26
LEG,2010-03-11,0.26
LEG,2009-12-11,0.26
LEG,2009-09-11,0.26
LEG,2009-06-11,0.25
LEG,2009-03-11,0.25
LEG,2008-12-11,0.25
LEG,2008-09-11,0.25
LEG,2008-06-11,0.25
LEG,2008-03-12,0.25
LEG,2007-12-12,0.25
LEG,2007-09-12,0.18
LEG,2007-06-13,0.18
LEG,2007-03-13,0.17
LEG,2006-12-13,0.17
LEG,2006-09-13,0.17
LEG,2006-06-13,0.17
LEG,2006-03-13,0.16
LEG,2005-12-13,0.16
LEG,2005-09-13,0.16
LEG,2005-06-13,0.16
LEG,2005-03-11,0.15
LEG,2004-12-13,0.15
LEG,2004-09-13,0.15
LEG,2004-06-14,0.14
LEG,2004-03-11,0.14
LEG,2003-12-11,0.14
LEG,2003-09-11,0.14
LEG,2003-06-11,0.13
LEG,2003-03-12,0.13
LEG,2002-12-11,0.13
LEG,2002-09-11,0.13
LEG,2002-06-12,0.12
LEG,2002-03-13,0.12
LEG,2001-12-12,0.12
LEG,2001-08-22,0.12
LEG,2001-05-23,0.12
LEG,2001-02-28,0.12
LEG,2000-11-21,0.11
LEG,2000-08-23,0.11
LEG,2000-05-17,0.1
LEG,2000-02-23,0.1
LEG,1999-11-23,0.09
LEG,1999-08-25,0.09
LEG,1999-05-26,0.09
LEG,1999-02-24,0.09
MMM,2023-11-16,1.5
MMM,2023-08-18,1.5
MMM,2023-05-18,1.5
MMM,2023-02-16,1.5
MMM,2022-11-17,1.49
MMM,2022-08-19,1.49
MMM,2022-05-19,1.49
MMM,2022-02-17,1.49
MMM,2021-11-18,1.48
MMM,2021-08-20,1.48
MMM,2021-05-20,1.48
MMM,2021-02-11,1.48
MMM,2020-11-19,1.47
MMM,2020-08-21,1.47
MMM,2020-05-21,1.47
MMM,2020-02-13,1.47
MMM,2019-11-21,1.44
MMM,2019-08-15,1.44
MMM,2019-05-23,1.44
MMM,2019-02-14,1.44
MMM,2018-11-21,1.36
MMM,2018-08-23,1.36
MMM,2018-05-17,1.36
MMM,2018-02-15,1.36
MMM,2017-11-22,1.175
MMM,2017-08-23,1.175
MMM,2017-05-17,1.175
MMM,2017-02-15,1.175
MMM,2016-11-16,1.11
MMM,2016-08-17,1.11
MMM,2016-05-18,1.11
MMM,2016-02-10,1.11
MMM,2015-11-18,1.025
MMM,2015-08-19,1.025
MMM,2015-05-20,1.025
MMM,2015-02-11,1.025
MMM,2014-11-19,0.855
MMM,2014-08-20,0.855
MMM,2014-05-21,0.855
