symbol,2023-12-29 closing price
WBA,26.11
LEG,26.17
MMM,109.32
O,57.42
AMCR,9.64
TROW,107.69
BEN,29.79
FRT,103.05
CVX,149.16
ABBV,154.97
IBM,163.55
ESS,247.94
KMB,121.51
KVUE,21.53
XOM,99.98
HRL,32.11
SJM,126.38
ED,90.97
SWK,98.1
MDT,82.38
CLX,142.59
TGT,142.42
KO,58.93
NEE,60.74
JNJ,156.74
PEP,169.84
CINF,103.46
CHRW,86.39
GPC,138.5
ATO,115.9
SYY,73.13
APD,273.8
PG,146.54
MKC,68.42
CL,79.71
ADP,232.97
ADM,72.22
AFL,82.5
EMR,97.33
MCD,296.51
ITW,261.94
LOW,222.55
GD,259.67
CAT,295.67
ABT,110.07
CAH,100.8
PPG,149.55
AOS,82.44
BDX,243.83
CB,226
WMT,157.65
DOV,153.81
PNR,72.71
LIN,410.71
NUE,174.04
ALB,144.48
ECL,198.35
CHD,94.56
EXPD,127.2
NDSN,264.16
CTAS,602.66
GWW,828.69
SPGI,440.52
SHW,311.9
BRO,71.11
ROP,545.17
WST,352.12
